UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
448433,20,99,3,1,R,830,R,795,R,35,R,11,R,10,R,1,R,60,R,59,R,1,R,17,R,16,R,1,R,364,R,354,R,10,R,18,R,18,R,0,R,255,R,240,R,15,R,82,R,76,R,6,R,22,R,21,R,1,R,1,R,1,R,0
448433,21,14,1,4,R,1278,R,1222,R,56,R,15,R,14,R,1,R,76,R,75,R,1,R,27,R,26,R,1,R,601,R,585,R,16,R,23,R,23,R,0,R,360,R,339,R,21,R,146,R,132,R,14,R,29,R,27,R,2,R,1,R,1,R,0
448433,22, 8,1,1,R,1278,R,1222,R,56,R,15,R,14,R,1,R,76,R,75,R,1,R,27,R,26,R,1,R,601,R,585,R,16,R,23,R,23,R,0,R,360,R,339,R,21,R,146,R,132,R,14,R,29,R,27,R,2,R,1,R,1,R,0
448433,23, 6,1,1,R,1278,R,1222,R,56,R,15,R,14,R,1,R,76,R,75,R,1,R,27,R,26,R,1,R,601,R,585,R,16,R,23,R,23,R,0,R,360,R,339,R,21,R,146,R,132,R,14,R,29,R,27,R,2,R,1,R,1,R,0
448433,24, 1,1,1,R,386,R,368,R,18,R,3,R,3,R,0,R,11,R,11,R,0,R,7,R,7,R,0,R,208,R,203,R,5,R,4,R,4,R,0,R,93,R,87,R,6,R,54,R,48,R,6,R,6,R,5,R,1,R,0,R,0,R,0
448433,25,99,1,1,R,892,R,854,R,38,R,12,R,11,R,1,R,65,R,64,R,1,R,20,R,19,R,1,R,393,R,382,R,11,R,19,R,19,R,0,R,267,R,252,R,15,R,92,R,84,R,8,R,23,R,22,R,1,R,1,R,1,R,0
448433,39, 2,1,1,R,62,R,59,R,3,R,1,R,1,R,0,R,5,R,5,R,0,R,3,R,3,R,0,R,29,R,28,R,1,R,1,R,1,R,0,R,12,R,12,R,0,R,10,R,8,R,2,R,1,R,1,R,0,R,0,R,0,R,0
448433,40, 3,1,1,R,830,R,795,R,35,R,11,R,10,R,1,R,60,R,59,R,1,R,17,R,16,R,1,R,364,R,354,R,10,R,18,R,18,R,0,R,255,R,240,R,15,R,82,R,76,R,6,R,22,R,21,R,1,R,1,R,1,R,0
448567, 1,29,3,4,R,11,R,7,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0
448567, 2,99,3,1,R,11,R,7,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0
